timestep,mean_episode_reward,entropy,action_hold,action_buy,action_sell
2048,-283872.22,-1.0890065688639878,662,715,671
4096,-283556.56,-1.0890065688639878,1359,1397,1340
6144,-279294.6,-1.0890065688639878,2092,2076,1976
8192,-272788.56,-1.0890065688639878,2839,2729,2624
10240,-270057.8,-1.0890065688639878,3606,3362,3272
12288,-266503.4,-1.0890065688639878,4370,4005,3913
14336,-265957.6,-1.0890065688639878,5159,4628,4549
16384,-264191.12,-1.0890065688639878,5935,5232,5217
18432,-262429.16,-1.0890065688639878,6715,5877,5840
20480,-261283.34,-1.0890065688639878,7519,6488,6473
22528,-257489.5,-1.0890065688639878,8310,7110,7108
24576,-254163.66,-1.0890065688639878,9089,7713,7774
26624,-251152.34,-1.0890065688639878,9910,8286,8428
28672,-250700.47,-1.0890065688639878,10689,8883,9100
30720,-250036.78,-1.0890065688639878,11498,9493,9729
32768,-249880.88,-1.0890065688639878,12297,10072,10399
34816,-247862.03,-1.0890065688639878,13116,10659,11041
36864,-246590.34,-1.0890065688639878,13895,11266,11703
38912,-247828.9,-1.0890065688639878,14701,11833,12378
40960,-247434.92,-1.0890065688639878,15460,12452,13048
43008,-249513.75,-1.0890065688639878,16214,13032,13762
45056,-250538.42,-1.0890065688639878,17010,13613,14433
47104,-251428.8,-1.0890065688639878,17811,14168,15125
49152,-251551.2,-1.0890065688639878,18555,14702,15895
51200,-254326.3,-1.0890065688639878,19323,15232,16645
